title,year,source,selection_criteria,status,comments
Design is Worth a Thousand Words: The Effect of Digital Interaction Design on Picture-Prompted Reminiscence,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Sounds of Play: Designing Augmented Toys for Children with Autism,2023,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
BullsEye: High-Precision Fiducial Tracking for Table-based Tangible Interaction,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,"Descreve um framework de tracking alternativo ao reactvision, não especifica uma mesa em si."
An immersive surface for 3D interactions,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,Funcionaria pra qualquer tabletop
"A collaborative multi-touch, multi-display, urban futures tool",2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Actibles: Open Source Active Tangibles,2016,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Introducing tangerine: a tangible interactive natural environment,2007,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Novel interaction techniques using touch-sensitive tangibles in tabletop environments,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Envisioning tangibles and display-rich interfaces for co-located and distributed genomics collaborations,2019,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Informing design by recording tangible interaction,2011,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Eugenie: Multi-Touch and Tangible Interaction for Bio-Design,2015,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Switch: exploring the design of application and configuration switching at tabletops,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Supporting offline activities on interactive surfaces,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
"Active Prolonged Engagement EXpanded (APEX): A Toolkit for Supporting Evidence-Based Iterative Design Decisions for Collaborative, Embodied Museum Exhibits",2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Towards document engineering on pen and touch-operated interactive tabletops,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Knowledge gaps in hands-on tangible interaction research,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
What have you done! the role of 'interference' in tangible environments for supporting collaborative learning,2009,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Augmented Reality and Robotics: A Survey and Taxonomy for AR-enhanced Human-Robot Interaction and Robotic Interfaces,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
JDLED: Towards Visio-Tactile Displays Based on Electrochemical Locomotion of Liquid-Metal Janus Droplets,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Exploring the Potential for Tangible Social Technologies for Childhood Cancer Patients within the Hospital,2019,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Exhibition of lunar surface navigation system facilitating collaboration between children and parents in science museum,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,"Não parece ter como interagir com a projeção na mesa, só com a projeção no chão, que não é uma tabletop"
Designing Tangible Interfaces to Support Expression and Sensemaking in Interactive Narratives,2015,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
The TUIO 2.0 Protocol: An Abstraction Framework for Tangible Interactive Surfaces,2018,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Handoff and Deposit: Designing Temporal Coordination in Cross-Device Transfer Techniques for Mixed-Focus Collaboration,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tables Got Moves: A Review on Actuated Table Designs,2023,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Augmenting tandem language learning with the TandemTable,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
MirrorForge: Rapid Prototyping of Complex Mirrors for Camera and Projector Systems,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Development of a cognitive assessment tool and training systems for elderly cognitive impairment: a case study of a successful development of a cognitive assessment tool and training systems for the elderly people in South Korea,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tangible Explainable AI - an Initial Conceptual Framework,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
A Meta-Analysis of Tangible Learning Studies from the TEI Conference,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tangible and Embodied Interaction,2022,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Enabling tangible interaction on capacitive touch panels,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Tangible User Interface in Health: A Scoping Review,2025,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
"A case study of object and occlusion management on the eLabBench, a mixed physical/digital tabletop",2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
TULIP: a widget-based software framework for tangible tabletop interfaces,2015,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
COPSE: Rapidly Instantiating Problem Solving Activities based on Tangible Tabletop Interfaces,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Using MTCF for live prototyping on tablet and tangible tabletop devices,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Design Implications for a User Study on a Tangible Tabletop,2016,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
artVIS: an interactive visualization for painting collections,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Passive Profiling and Natural Interaction Metaphors for Personalized Multimedia Museum Experiences,2013,Springer Link,Articles that omits the tabletop technique,Rejected,
Developing a pedagogical framework for designing a multisensory serious gaming environment,2017,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
MasePlanner: A Card-Based Distributed Planning Tool for Agile Teams,2006,IEEE Digital Library,Articles that omits the tabletop technique,Rejected,
Arp\`{e}ge: learning multitouch chord gestures vocabularies,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Interaction patterns for assessment of learners in tabletop based collaborative learning environment,2013,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Lo-fi prototyping to design interactive-tabletop applications for children,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Collaborative concept mapping at the tabletop,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Three's company: understanding communication channels in three-way distributed collaboration,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Creativity as a tool for prospective use analysis in the design of innovative products,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Interactive surfaces and tangibles,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
Multi-touch authentication on tabletops,2010,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
I will Help You Pass the Puzzle Piece to Your Partner if This is What You Want Me to: The Design of Collaborative Puzzle Games to Train Chinese Children with Autism Spectrum Disorder Joint Attention Skills,2016,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
ToyVision: a toolkit for prototyping tabletop tangible games,2012,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
ePlan Multi-Surface: A Multi-Surface Environment for Emergency Response Planning Exercises,2014,ACM Digital Library,Articles that omits the tabletop technique,Rejected,
